url, cart, shop, sell, busket, sale, wish list, order, price, $, ils, pay, store, buy, offers, deals, basket, product, item, deal, market, itm, bag, visa, mastercard, paypal, condision, sort, PAYMENT, buy now, add to cart, add to basket, add to wishlist, track order, usd, euro, wishlist
http://www.sweetwater.com/store/detail/SE215 , 4,16,1,0,4,4,7,6,18,2,12,2,5,2,21,0,6,6,23,2,0,0,1,1,0,0,0,12,0,1,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-phone-accessories/cases-covers-clips/abcat0811006.c?id=abcat0811006 , 16,6,2,0,3,0,24,131,40,15,1,32,82,6,6,0,33,52,9,1,0,0,0,0,0,0,1,1,0,15,0,0,0,0,0,0,
http://www.jabong.com/Flying_Machine-Grey-Melange-Round-Neck-T-Shirt-1080133.html?pos=2 , 0,3,0,0,1,0,6,11,0,11,3,0,2,0,0,0,25,7,1,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,
http://www.bestbuy.com/site/mobile-cell-phones/iphone/pcmcat305200050000.c?id=pcmcat305200050000 , 1,13,0,0,1,0,14,4,6,1,1,6,22,4,6,0,4,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
http://www.barbiecollector.com/shop/browse/term/12 , 0,8,0,0,2,1,3,2,12,6,0,1,1,2,1,0,0,4,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
http://www.bhphotovideo.com/c/product/758631-REG/Shure_SE215_K_SE215_Sound_Isolating_In_Ear_Stereo.html/c/product/#inpage:IN+STOCK?gclid=CjwKEAjw0q2pBRC3jrb24JjE8VgSJAAyIzAd3n13xtr78YuKmQwDBnceuLjTnjp5xK4rQTsCEfXjEBoCpvPw_wcB , 1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,
http://www.bestbuy.com/site/shure-sound-isolating-earphones-clear/1306460000.p?id=mp1306460000&skuId=1306460000 , 1,6,5,0,1,0,13,3,2,0,1,3,18,4,6,0,8,4,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
http://www.thomann.de/gb/shure_se215cl.htm , 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bhphotovideo.com/c/product/758628-REG/Shure_SE215_CL_SE215_Sound_Isolating_In_Ear_Stereo.html , 1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,
http://www.guitarcenter.com/Shure-SE215-Dynamic-Microdriver-Earphones-106534613-i1827972.gc , 2,16,2,0,4,3,4,8,9,5,5,30,3,2,1,0,32,14,3,1,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
